carrier,chargeType,port,containerType,freeDays,dayFrom,dayTo,rate,currency,notes
YANG,detention,Gdansk,20DRY,7,8,10,40,EUR,
YANG,detention,Gdansk,20DRY,7,11,Infinity,50,EUR,
YANG,detention,Gdansk,40DRY,7,8,10,50,EUR,
YANG,detention,Gdansk,40DRY,7,11,Infinity,60,EUR,
YANG,detention,Gdynia,20DRY,7,8,10,40,EUR,
YANG,detention,Gdynia,20DRY,7,11,Infinity,50,EUR,
YANG,detention,Gdynia,40DRY,7,8,10,50,EUR,
YANG,detention,Gdynia,40DRY,7,11,Infinity,60,EUR,
ZIM,demdet,Gdansk,20DRY,12,6,9,20,EUR,"Do weryfikacji: zakres z obecnego pliku zaczyna się przed końcem free days"
ZIM,demdet,Gdansk,20DRY,12,10,13,35,EUR,"Do weryfikacji: zakres z obecnego pliku zaczyna się przed końcem free days"
ZIM,demdet,Gdansk,20DRY,12,14,Infinity,55,EUR,
ZIM,demdet,Gdansk,40DRY,12,6,9,28,EUR,"Do weryfikacji: zakres z obecnego pliku zaczyna się przed końcem free days"
ZIM,demdet,Gdansk,40DRY,12,10,13,50,EUR,"Do weryfikacji: zakres z obecnego pliku zaczyna się przed końcem free days"
ZIM,demdet,Gdansk,40DRY,12,14,Infinity,80,EUR,
ZIM,demdet,Gdynia,20DRY,12,6,9,20,EUR,"Do weryfikacji: zakres z obecnego pliku zaczyna się przed końcem free days"
ZIM,demdet,Gdynia,20DRY,12,10,13,35,EUR,"Do weryfikacji: zakres z obecnego pliku zaczyna się przed końcem free days"
ZIM,demdet,Gdynia,20DRY,12,14,Infinity,55,EUR,
ZIM,demdet,Gdynia,40DRY,12,6,9,28,EUR,"Do weryfikacji: zakres z obecnego pliku zaczyna się przed końcem free days"
ZIM,demdet,Gdynia,40DRY,12,10,13,50,EUR,"Do weryfikacji: zakres z obecnego pliku zaczyna się przed końcem free days"
ZIM,demdet,Gdynia,40DRY,12,14,Infinity,80,EUR,
